instance_id,correlation_type,population_size,generations,n_seeds,mean_gap,std_gap,median_gap,min_gap,max_gap
n20_uncorrelated,uncorrelated,20,20,30,0.03876849791105385,0.01962372737602647,0.0392409511538011,0.0,0.07649057045800632
n20_uncorrelated,uncorrelated,20,30,30,0.028433095154425832,0.015600652607869525,0.03086564366873609,0.0,0.06137987583460232
n20_uncorrelated,uncorrelated,20,50,30,0.021974932646128615,0.012918995244634784,0.023778845027527234,0.0,0.046269181211198315
n20_uncorrelated,uncorrelated,50,20,30,0.020971457576822457,0.012005884161531963,0.023778845027527234,0.0,0.04474639803209558
n20_uncorrelated,uncorrelated,50,30,30,0.015036507750575924,0.012134067856157763,0.020850415836945062,0.0,0.038420990980438094
n20_uncorrelated,uncorrelated,50,50,30,0.011764476201632111,0.011341806850455806,0.018859083987349187,0.0,0.028932880402951857
n20_weakly,weakly,20,20,30,0.030889958979846626,0.01408337186450042,0.03317281968967362,0.0,0.06028179061886927
n20_weakly,weakly,20,30,30,0.02641341180667024,0.012403422639016644,0.023809523809523808,0.0,0.04690565364722668
n20_weakly,weakly,20,50,30,0.018583912965935437,0.0095325329268407,0.01854824326734439,0.0,0.04262528981630105
n20_weakly,weakly,50,20,30,0.02263242375601926,0.012097393776680948,0.02086677367576244,0.0,0.04458712323880863
n20_weakly,weakly,50,30,30,0.014089530943463527,0.009264418562767147,0.012306046013911182,0.0,0.037096486534688784
n20_weakly,weakly,50,50,30,0.006289756851554603,0.00641352641313164,0.006242197253433208,0.0,0.025860531478509006
n20_strongly,strongly,20,20,30,0.0328650711064863,0.01771479235383368,0.035119667013527575,0.0019077349982656955,0.07041276448144294
n20_strongly,strongly,20,30,30,0.028627587004277952,0.017964740275695345,0.02532084634061741,0.0,0.07041276448144294
n20_strongly,strongly,20,50,30,0.0244190079778009,0.016030401990798596,0.018730489073881373,0.0,0.05393687131460284
n20_strongly,strongly,50,20,30,0.021522719389524804,0.008331804031630911,0.019424210891432536,0.0,0.03537981269510926
n20_strongly,strongly,50,30,30,0.020054341542374843,0.008202220922854993,0.018383628165105793,0.0,0.03537981269510926
n20_strongly,strongly,50,50,30,0.01657417042432651,0.00522274723755149,0.01768990634755463,0.0,0.023586541796739507
n30_uncorrelated,uncorrelated,20,20,30,0.0548245948764914,0.02512713654478594,0.04735556742730672,0.013813630466305427,0.13355720064107457
n30_uncorrelated,uncorrelated,20,30,30,0.036454755908316164,0.017388856542682414,0.03274059375715485,0.006716019232236892,0.07776844997328856
n30_uncorrelated,uncorrelated,20,50,30,0.0199521738024371,0.014819839475740086,0.022704724108982676,0.0,0.06311531710295352
n30_uncorrelated,uncorrelated,50,20,30,0.020689918339311615,0.0131806242395569,0.019575669693963214,0.0,0.05265969625276654
n30_uncorrelated,uncorrelated,50,30,30,0.007095067287389656,0.009236113646554198,0.0,0.0,0.029229947340303746
n30_uncorrelated,uncorrelated,50,50,30,0.001915591849194841,0.005278611253540003,0.0,0.0,0.018469052888651454
n30_weakly,weakly,20,20,30,0.04622541849504306,0.013085720875424395,0.045465626523647,0.0212091662603608,0.08508044856167724
n30_weakly,weakly,20,30,30,0.03664878920851617,0.010893743059934673,0.034434422233057045,0.010848366650414432,0.06033642125792296
n30_weakly,weakly,20,50,30,0.02791727612546725,0.010301637225899432,0.026999024865919062,0.010848366650414432,0.053022915650901996
n30_weakly,weakly,50,20,30,0.030875182837640177,0.011062302187578083,0.030960507069722087,0.010117016089712336,0.05667966845441248
n30_weakly,weakly,50,30,30,0.022854705021940522,0.009158637279146287,0.024195514383227694,0.006947830326669917,0.040955631399317405
n30_weakly,weakly,50,50,30,0.014639200390053632,0.006489133201954803,0.012311067771818625,0.006460263286201853,0.025841053144807412
n30_strongly,strongly,20,20,30,0.036114144281866496,0.009287632783051685,0.03466914173400305,0.01583315134308801,0.05547062677440489
n30_strongly,strongly,20,30,30,0.032015723957195895,0.008546414370443418,0.03314042367329111,0.015396374754313168,0.05044769600349421
n30_strongly,strongly,20,50,30,0.02569338283468006,0.008058924482695738,0.023749727014632016,0.010810220572177332,0.04706267744048919
n30_strongly,strongly,50,20,30,0.029289510082259596,0.008541086358676137,0.032048482201354006,0.01332168595763267,0.044878794496614985
n30_strongly,strongly,50,30,30,0.024091868675838974,0.0065113289762902754,0.02309456213146975,0.011902162044114435,0.033304214894081675
n30_strongly,strongly,50,50,30,0.015840430952900924,0.005794917235054821,0.013703865472810658,0.0014195239135182355,0.025333042148940818
n50_uncorrelated,uncorrelated,20,20,30,0.0926953865599326,0.02859045228832778,0.09258479039393301,0.02922898672846008,0.16800084263745524
n50_uncorrelated,uncorrelated,20,30,30,0.062097113966715814,0.02137063421479791,0.06480408679165789,0.012270907941858016,0.10554034126816937
n50_uncorrelated,uncorrelated,20,50,30,0.035785759427006535,0.018457467778563368,0.035917421529386984,0.007478407415209606,0.08115651990730988
n50_uncorrelated,uncorrelated,50,20,30,0.04095744680851064,0.01432959067460955,0.04152622709079419,0.01300821571518854,0.06309247946071203
n50_uncorrelated,uncorrelated,50,30,30,0.020432202794747563,0.009687591335417904,0.01998630714135243,0.0021065936380872128,0.044291131240783654
n50_uncorrelated,uncorrelated,50,50,30,0.006002036373850151,0.005169292023296684,0.004055192753317885,0.0,0.017168738150410787
n50_weakly,weakly,20,20,30,0.05880869565217392,0.009656053625500354,0.059,0.041130434782608694,0.08008695652173912
n50_weakly,weakly,20,30,30,0.05118550724637681,0.010050715107474186,0.051347826086956525,0.030869565217391304,0.07034782608695653
n50_weakly,weakly,20,50,30,0.03922318840579711,0.010987840660223687,0.03947826086956522,0.02356521739130435,0.06634782608695652
n50_weakly,weakly,50,20,30,0.03917101449275363,0.006648492708433399,0.038,0.026434782608695653,0.050782608695652175
n50_weakly,weakly,50,30,30,0.03127536231884057,0.008348523625696314,0.030521739130434784,0.01017391304347826,0.04991304347826087
n50_weakly,weakly,50,50,30,0.022379710144927532,0.007235143116570588,0.02356521739130435,0.008782608695652174,0.035304347826086956
n50_strongly,strongly,20,20,30,0.042229567307692305,0.007368551244639432,0.042578125,0.030048076923076924,0.05594951923076923
n50_strongly,strongly,20,30,30,0.038034855769230776,0.0060733595036686775,0.03701923076923077,0.024338942307692308,0.049639423076923074
n50_strongly,strongly,20,50,30,0.03421073717948718,0.005343116544810683,0.03617788461538462,0.024338942307692308,0.04483173076923077
n50_strongly,strongly,50,20,30,0.03119391025641026,0.007066116617650189,0.029326923076923077,0.018689903846153846,0.048317307692307694
n50_strongly,strongly,50,30,30,0.025266426282051276,0.005229179545108751,0.024338942307692308,0.0125,0.03737980769230769
n50_strongly,strongly,50,50,30,0.01920072115384615,0.005109203018730368,0.01980168269230769,0.007692307692307693,0.030108173076923078
