instance_id,population_size,generations,n_seeds,mean_gap,std_gap,median_gap,min_gap,max_gap
eil22,20,20,30,0.5797362110311751,0.12654116885450062,0.564748201438849,0.39568345323741005,0.8381294964028777
eil22,20,30,30,0.47182254196642676,0.1034730236297069,0.46223021582733814,0.29856115107913667,0.6798561151079137
eil22,20,50,30,0.32973621103117506,0.08747246887213178,0.32014388489208634,0.1474820143884892,0.5431654676258992
eil22,50,20,30,0.4122302158273381,0.09245325836470483,0.42985611510791366,0.24820143884892087,0.5899280575539568
eil22,50,30,30,0.24916067146282972,0.07496106543941823,0.2517985611510791,0.07913669064748201,0.4244604316546763
eil22,50,50,30,0.14544364508393284,0.07020783638492194,0.131294964028777,0.05755395683453238,0.30935251798561153
eil51,20,20,30,1.6083724569640063,0.10297701052868512,1.6220657276995305,1.4272300469483568,1.8450704225352113
eil51,20,30,30,1.459702660406886,0.09993739652922082,1.4636150234741785,1.2887323943661972,1.676056338028169
eil51,20,50,30,1.2132237871674492,0.09700239357381947,1.2194835680751175,0.9976525821596244,1.4154929577464788
eil51,50,20,30,1.4149452269170577,0.0987488498487722,1.4049295774647887,1.2183098591549295,1.6173708920187793
eil51,50,30,30,1.212284820031299,0.11042707820373321,1.2136150234741785,1.0,1.3967136150234742
eil51,50,50,30,0.9438967136150236,0.07990345610778618,0.9413145539906103,0.8333333333333334,1.1408450704225352
berlin52,20,20,30,1.685353133563157,0.15318529679897508,1.729315831344471,1.39618138424821,1.9892601431980907
berlin52,20,30,30,1.462291169451074,0.12912423274423968,1.4728851763457969,1.2373375762397243,1.7893131795279766
berlin52,20,50,30,1.2046141607000793,0.11198259211861425,1.2116149562450278,0.9843542826836383,1.4856801909307875
berlin52,50,20,30,1.4320118447803412,0.11336578176533903,1.4535269159374171,1.1070007955449483,1.6487669053301512
berlin52,50,30,30,1.1977326968973747,0.10261322438747482,1.18854415274463,0.9655263855741183,1.3565367276584461
berlin52,50,50,30,0.8863254662777337,0.09423212046317908,0.9008220631132325,0.6856271546009016,1.1023601166799257
